Perceived_Hearing_Meaning,Hearing_FOMO,Hearing_Test_Barrier,Missed_Important_Sounds,Left_Out_Due_To_Hearing,Daily_Headphone_Use,Belief_Early_Hearing_Care,Last_Hearing_Test_Method,Interest_in_Hearing_App,Desired_App_Features,Awareness_on_hearing_and_Willingness_to_invest,Paid_App_Test_Interest,Age_group,Ear_Discomfort_After_Use,Missed_Important_Sounds_clean,Interest_in_Hearing_App_clean,Last_Hearing_Test_Method_clean,Paid_App_Test_Interest_clean
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Sometimes,2-4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use",Doctor consultation,Yes,"No, I prefer getting tested at a hospital",18 - 24,Maybe,Yes,Maybe,Never,No
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in family conversations",Never,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,No,"No, I prefer getting tested at a hospital",25 - 34,Occasionally,Yes,Yes,Never,No
Staying connected with the world,Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Sometimes,More than 4 hours,4,At a hospital or clinic,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Clinically-tested,No
Feeling close to loved ones,Yes often,Shame,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,4,Mobile app,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Audio amplifier or sound booster",Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Maybe,Self-tested,Maybe
Feeling close to loved ones,Rarely,Cost,"Yes, during important work or school meetings",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Yes,Never,Maybe
"Enjoying music, laughter, and life, Staying connected with the world, I haven't thought about it much",Sometimes,Cost,"I'm not sure, but I have felt disconnected",Only in noisy places,1-2 hours,3,At a hospital or clinic,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Detailed report generation, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Maybe,Maybe,Clinically-tested,Maybe
"I haven't thought about it much, ",Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",I try to avoid such situations,2-4 hours,2,I've never taken a hearing test,"Maybe, if it's easy to use","Earphone calibration, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster",No,"Maybe, if it offers good value",18 - 24,Yes,Maybe,Maybe,Never,Maybe
Feeling close to loved ones,Never,Lack of awareness,"I'm not sure, but I have felt disconnected","Yes, often",Less than 1 hour,5,At a hospital or clinic,"No, I don't think it's necessary",Doctor consultation,No,"No, I prefer getting tested at a hospital",45 - 54,Not sure,Maybe,No,Clinically-tested,No
"Enjoying music, laughter, and life, Staying connected with the world",Sometimes,"Fear, Lack of awareness","Yes, in public spaces (trains, shops, announcements)",Sometimes,1-2 hours,4,At a hospital or clinic,"Maybe, if it's easy to use","Quick tests, Game-based interaction",Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Clinically-tested,No
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in family conversations",Only in noisy places,Less than 1 hour,3,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Yes,Yes,Never,No
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Earphone calibration, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster",Yes,"Maybe, if it offers good value",18 - 24,Yes,Yes,Yes,Never,Maybe
"Feeling close to loved ones, Staying connected with the world",Never,I am doing hearing test periodically ,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,At a hospital or clinic,"No, I don't think it's necessary",Doctor consultation,No,"No, I prefer getting tested at a hospital",45 - 54,No,No,No,Clinically-tested,No
"Enjoying music, laughter, and life",Never,Shame,"Yes, during important work or school meetings",Sometimes,1-2 hours,2,Online test,"Maybe, if it's easy to use",Doctor consultation,Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Maybe,Self-tested,Maybe
"Enjoying music, laughter, and life",Never,Not applicable ,"No, I usually hear things well",Never,2-4 hours,5,I've never taken a hearing test,"No, I don't think it's necessary",Doctor consultation,Yes,"No, I prefer getting tested at a hospital",45 - 54,No,No,No,Never,No
"Enjoying music, laughter, and life",Rarely,"Fear, Lack of awareness","Yes, during important work or school meetings",Sometimes,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Doctor consultation, Soft guidance",Yes,"No, I prefer getting tested at a hospital",35 - 44,Occasionally,Yes,Maybe,Never,No
"Enjoying music, laughter, and life",Rarely,Fear,"Yes, in family conversations","Yes, often",Less than 1 hour,3,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,No,"No, I prefer getting tested at a hospital",45 - 54,No,Yes,Yes,Never,No
I haven't thought about it much,Sometimes,Lack of awareness,"No, I usually hear things well",Only in noisy places,More than 4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Yes,No,Maybe,Never,Maybe
"Enjoying music, laughter, and life, Staying connected with the world",Rarely,Cost,"No, I usually hear things well",I try to avoid such situations,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Yes,No,Yes,Never,Maybe
"Enjoying music, laughter, and life, Staying connected with the world",Yes often,Lack of awareness,"No, I usually hear things well",Only in noisy places,More than 4 hours,3,I've never taken a hearing test,"Yes, that would be helpful","Game-based interaction, Earphone calibration",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,No,Yes,Never,No
Feeling close to loved ones,Yes often,Fear,"Yes, in family conversations","Yes, often",Less than 1 hour,1,At a hospital or clinic,"Maybe, if it's easy to use",Quick tests,Yes,"Yes, definitely",18 - 24,Yes,Yes,Maybe,Clinically-tested,Yes
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Yes often,Fear,"Yes, in family conversations",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",No,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,Yes,Yes,Never,No
Staying independent and alert,Rarely,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,1,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,Yes,"Maybe, if it offers good value",45 - 54,Yes,No,Yes,Never,Maybe
Staying connected with the world,Never,"Lack of awareness, ","No, I usually hear things well",Never,More than 4 hours,5,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Doctor consultation",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,No,Never,No
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Never,More than 4 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,No,No,Yes,Never,Maybe
I haven't thought about it much,Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,1-2 hours,3,At a hospital or clinic,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Doctor consultation, Personalized volume adjustments",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,Maybe,Clinically-tested,No
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Doctor consultation, Audio amplifier or sound booster, Report sharing options",No,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,Maybe,Never,No
I haven't thought about it much,Rarely,Shame,"I'm not sure, but I have felt disconnected",I try to avoid such situations,1-2 hours,2,I've never taken a hearing test,"Maybe, if it's easy to use",Personalized volume adjustments,No,"No, I prefer getting tested at a hospital",18 - 24,Not sure,Maybe,Maybe,Never,No
"Staying independent and alert, I haven't thought about it much",Rarely,Never had the necessity to ,"No, I usually hear things well",Never,Less than 1 hour,2,I've never taken a hearing test,"No, I don't think it's necessary",Nothing ,No,"Maybe, if it offers good value",18 - 24,Occasionally,No,No,Never,Maybe
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,"Cost, Facilities ","No, I usually hear things well",Never,1-2 hours,5,At a hospital or clinic,"Maybe, if it's easy to use","Regular testing reminders, Doctor consultation, Audio amplifier or sound booster",Yes,"Maybe, if it offers good value",55 - 64,Not sure,No,Maybe,Clinically-tested,Maybe
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,At a hospital or clinic,"Yes, that would be helpful","Regular testing reminders, Doctor consultation, Personalized volume adjustments",Yes,"Yes, definitely",35 - 44,No,No,Yes,Clinically-tested,Yes
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Rarely,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Earphone calibration, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Yes,No,No,Never,Maybe
"Staying independent and alert, Life",Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Earphone calibration, Regular testing reminders, Personalized volume adjustments",Yes,"Maybe, if it offers good value",45 - 54,Yes,No,Maybe,Never,Maybe
Feeling close to loved ones,Sometimes,Lack of awareness,"No, I usually hear things well",Never,2-4 hours,5,Online test,"Maybe, if it's easy to use","Game-based interaction, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Yes,No,Maybe,Self-tested,Maybe
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,Less than 1 hour,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments",Yes,"Maybe, if it offers good value",18 - 24,Not sure,Maybe,Maybe,Never,Maybe
Staying connected with the world,Sometimes,Cost,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,5,At a hospital or clinic,"Maybe, if it's easy to use",Personalized volume adjustments,No,"No, I prefer getting tested at a hospital",45 - 54,Yes,Yes,Maybe,Clinically-tested,No
Staying connected with the world,Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,Mobile app,"No, I don't think it's necessary",Report sharing options,Yes,"Maybe, if it offers good value",45 - 54,Not sure,No,No,Self-tested,Maybe
I haven't thought about it much,Never,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Quick tests,Yes,"Maybe, if it offers good value",45 - 54,No,No,Maybe,Never,Maybe
Staying connected with the world,Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Detailed report generation, Personalized volume adjustments",Yes,"Maybe, if it offers good value",35 - 44,Occasionally,Maybe,Yes,Never,Maybe
I haven't thought about it much,Never,Not necessary,"No, I usually hear things well",Only in noisy places,Less than 1 hour,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Detailed report generation, Doctor consultation",Yes,"No, I prefer getting tested at a hospital",45 - 54,No,No,Maybe,Never,No
I haven't thought about it much,Rarely,Never thought about it,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,1-2 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Maybe,Never,Maybe
Staying independent and alert,Yes often,I frequently testing by every six months,"Yes, during important work or school meetings","Yes, often",1-2 hours,5,At a hospital or clinic,"No, I don't think it's necessary","Quick tests, Regular testing reminders, Soft guidance",Yes,"No, I prefer getting tested at a hospital",45 - 54,Yes,Yes,No,Clinically-tested,No
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Soft guidance",No,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,Yes,Maybe,Never,No
I haven't thought about it much,Never,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,At a hospital or clinic,"Maybe, if it's easy to use",Doctor consultation,No,"No, I prefer getting tested at a hospital",35 - 44,No,No,Maybe,Clinically-tested,No
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"No, I usually hear things well",Sometimes,2-4 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Yes,No,Yes,Never,Maybe
